Item,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
1,0.011915961116337408,0.004972783034633179,0.5090115727565926,16500
3,0.011915961116337408,0.004972783034633179,0.5090115727565926,78936
4,0.011915961116337408,0.004972783034633179,0.5090115727565926,28000
5,0.011915961116337408,0.004972783034633179,0.5090115727565926,16571
8,0.011915961116337408,0.004972783034633179,0.5090115727565926,6315
1,0.011915961116337408,0.006693603934286873,0.462720546385885,19231
3,0.011915961116337408,0.006693603934286873,0.462720546385885,90747
4,0.011915961116337408,0.006693603934286873,0.462720546385885,26786
5,0.011915961116337408,0.006693603934286873,0.462720546385885,24231
8,0.011915961116337408,0.006693603934286873,0.462720546385885,10809
1,0.011915961116337408,0.0033047929245134753,0.46309998102826777,22828
3,0.011915961116337408,0.0033047929245134753,0.46309998102826777,107917
4,0.011915961116337408,0.0033047929245134753,0.46309998102826777,24733
5,0.011915961116337408,0.0033047929245134753,0.46309998102826777,40000
8,0.011915961116337408,0.0033047929245134753,0.46309998102826777,9939
1,0.011915961116337408,0.0027784427321310935,0.49079870992221586,12500
3,0.011915961116337408,0.0027784427321310935,0.49079870992221586,111215
4,0.011915961116337408,0.0027784427321310935,0.49079870992221586,23111
5,0.011915961116337408,0.0027784427321310935,0.49079870992221586,50000
8,0.011915961116337408,0.0027784427321310935,0.49079870992221586,8097
1,0.011915961116337408,0.003412330635582404,0.5241889584519066,4512
3,0.011915961116337408,0.003412330635582404,0.5241889584519066,95078
4,0.011915961116337408,0.003412330635582404,0.5241889584519066,21374
8,0.011915961116337408,0.003412330635582404,0.5241889584519066,7999
1,0.011915961116337408,0.0073333649466107214,0.5044583570479984,16115
3,0.011915961116337408,0.0073333649466107214,0.5044583570479984,136768
4,0.011915961116337408,0.0073333649466107214,0.5044583570479984,19598
5,0.011915961116337408,0.0073333649466107214,0.5044583570479984,12667
8,0.011915961116337408,0.0073333649466107214,0.5044583570479984,8924
1,0.011915961116337408,0.0013044011663994218,0.4816922785050275,17154
3,0.011915961116337408,0.0013044011663994218,0.4816922785050275,134629
4,0.011915961116337408,0.0013044011663994218,0.4816922785050275,17861
5,0.011915961116337408,0.0013044011663994218,0.4816922785050275,14750
8,0.011915961116337408,0.0013044011663994218,0.4816922785050275,13090
1,0.011915961116337408,0.0010908212117985536,0.5226712198823752,21417
3,0.011915961116337408,0.0010908212117985536,0.5226712198823752,141042
4,0.011915961116337408,0.0010908212117985536,0.5226712198823752,15000
5,0.011915961116337408,0.0010908212117985536,0.5226712198823752,40000
8,0.011915961116337408,0.0010908212117985536,0.5226712198823752,8016
1,0.011915961116337408,0.000877703492618209,0.49611079491557575,17222
3,0.011915961116337408,0.000877703492618209,0.49611079491557575,160256
4,0.011915961116337408,0.000877703492618209,0.49611079491557575,15000
5,0.011915961116337408,0.000877703492618209,0.49611079491557575,24500
8,0.011915961116337408,0.000877703492618209,0.49611079491557575,8847
1,0.011915961116337408,0.0017793616561470947,0.5276038702333522,22375
3,0.011915961116337408,0.0017793616561470947,0.5276038702333522,153532
4,0.011915961116337408,0.0017793616561470947,0.5276038702333522,13942
5,0.011915961116337408,0.0017793616561470947,0.5276038702333522,27000
8,0.011915961116337408,0.0017793616561470947,0.5276038702333522,10711
1,0.011915961116337408,0.0016412892170047382,0.5249478277366723,36186
3,0.011915961116337408,0.0016412892170047382,0.5249478277366723,166143
4,0.011915961116337408,0.0016412892170047382,0.5249478277366723,13052
5,0.011915961116337408,0.0016412892170047382,0.5249478277366723,69500
8,0.011915961116337408,0.0016412892170047382,0.5249478277366723,9194
1,0.011915961116337408,0.0019307029708903708,0.5336748245114777,27175
3,0.011915961116337408,0.0019307029708903708,0.5336748245114777,147018
4,0.011915961116337408,0.0019307029708903708,0.5336748245114777,12314
5,0.011915961116337408,0.0019307029708903708,0.5336748245114777,27750
8,0.011915961116337408,0.0019307029708903708,0.5336748245114777,11104
1,0.011915961116337408,0.0022201167247760034,0.5230506545247581,33480
3,0.011915961116337408,0.0022201167247760034,0.5230506545247581,183774
4,0.011915961116337408,0.0022201167247760034,0.5230506545247581,12959
5,0.011915961116337408,0.0022201167247760034,0.5230506545247581,33900
8,0.011915961116337408,0.0022201167247760034,0.5230506545247581,10739
1,0.011915961116337408,0.010190442080868575,0.5052172263327641,31729
3,0.011915961116337408,0.010190442080868575,0.5052172263327641,203585
4,0.011915961116337408,0.010190442080868575,0.5052172263327641,12829
5,0.011915961116337408,0.010190442080868575,0.5052172263327641,43316
8,0.011915961116337408,0.010190442080868575,0.5052172263327641,13582
